"Token","Count","Number of Dialogue Acts","Total Acts"
"chairman",1,1,174291
"hatcher",1,1,174291
"choreographed",1,1,174291
"birthing",1,1,174291
"excelled",1,1,174291
"callie",1,1,174291
"displeasure",1,1,174291
"bleaching",1,1,174291
"furlough",1,1,174291
"exploitation",1,1,174291
"disorders",1,1,174291
"incavalia",1,1,174291
"wimpy",1,1,174291
"tapers",1,1,174291
"othello",1,1,174291
"soundly",1,1,174291
"intimately",1,1,174291
"shakers",1,1,174291
"pancakes",1,1,174291
"duality",1,1,174291
"followers",1,1,174291
"foamy",1,1,174291
"activate",1,1,174291
"unshowable",1,1,174291
"bungling",1,1,174291
"standardizing",1,1,174291
"greening",1,1,174291
"godsend",1,1,174291
"progression",1,1,174291
"brats",1,1,174291
"dreamt",1,1,174291
"mugging",1,1,174291
"funerals",1,1,174291
"whispers",1,1,174291
"tokens",1,1,174291
"backlogged",1,1,174291
"relieve",1,1,174291
"prioritize",1,1,174291
"braun",1,1,174291
"aines",1,1,174291
"achievements",1,1,174291
"accusation",1,1,174291
"pivot",1,1,174291
"zealand",1,1,174291
"shoosh",1,1,174291
"subminimum",1,1,174291
"suit's",1,1,174291
"severing",1,1,174291
"correlations",1,1,174291
"hammond",1,1,174291
"velvety",1,1,174291
"adjudicator",1,1,174291
"oshman's",1,1,174291
"barby",1,1,174291
"enchila",1,1,174291
"sizing",1,1,174291
"clara's",1,1,174291
"ernest",1,1,174291
"anguished",1,1,174291
"loaners",1,1,174291
"dunked",1,1,174291
"garrett",1,1,174291
"recovered",1,1,174291
"mixers",1,1,174291
"countenance",1,1,174291
"sterling",1,1,174291
"homeboys",1,1,174291
"salvadorian",1,1,174291
"hilton",1,1,174291
"geographically",1,1,174291
"favorite's",1,1,174291
"putterer",1,1,174291
"birdie",1,1,174291
"superb",1,1,174291
"dethatch",1,1,174291
"expressions",1,1,174291
"whisk",1,1,174291
"celtic",1,1,174291
"goulashes",1,1,174291
"radi",1,1,174291
"yuck!",1,1,174291
"transcriber",1,1,174291
"tricycles",1,1,174291
"transcribes",1,1,174291
"postpones",1,1,174291
"gardenias",1,1,174291
"legals",1,1,174291
"racy",1,1,174291
"campari's",1,1,174291
"topaz",1,1,174291
"thrash",1,1,174291
"cashing",1,1,174291
"wad",1,1,174291
"postponed",1,1,174291
"apso",1,1,174291
"griffis",1,1,174291
"wat",1,1,174291
"manipulative",1,1,174291
"wax",1,1,174291
"pardons",1,1,174291
"george's",1,1,174291
"mesquites",1,1,174291
"gage",1,1,174291
"raft",1,1,174291
"unfeasible",1,1,174291
"saigon",1,1,174291
"oomph",1,1,174291
"reconvicted",1,1,174291
"hanky",1,1,174291
"impregnated",1,1,174291
"spurts",1,1,174291
"parchman",1,1,174291
"connally's",1,1,174291
"thunderbirds",1,1,174291
"linguini",1,1,174291
"sammy",1,1,174291
"vatican",1,1,174291
"tastings",1,1,174291
"this'll",1,1,174291
"reliever",1,1,174291
"leaky",1,1,174291
"gallagher",1,1,174291
"relieved",1,1,174291
"lobbyist",1,1,174291
"nudge",1,1,174291
"porting",1,1,174291
"castles",1,1,174291
"wes",1,1,174291
"bigoted",1,1,174291
"meanings",1,1,174291
"pirated",1,1,174291
"chorals",1,1,174291
"discoveries",1,1,174291
"humdinger",1,1,174291
"gags",1,1,174291
"circumference",1,1,174291
"terminating",1,1,174291
"monkey",1,1,174291
"refinishing",1,1,174291
"bourgeoisie",1,1,174291
"underdrive",1,1,174291
"whi",1,1,174291
"popping",1,1,174291
"denies",1,1,174291
"poppins",1,1,174291
"wig",1,1,174291
"wil",1,1,174291
"shannon's",1,1,174291
"sprigs",1,1,174291
"wit",1,1,174291
"cottonwood",1,1,174291
"frugally",1,1,174291
"egalitarian",1,1,174291
"hailstorm",1,1,174291
"reword",1,1,174291
"barriers",1,1,174291
"stagnate",1,1,174291
"variance",1,1,174291
"scratchy",1,1,174291
"forsyth",1,1,174291
"grunts",1,1,174291
"barron",1,1,174291
"embellished",1,1,174291
"barrow",1,1,174291
"cosmic",1,1,174291
"marginally",1,1,174291
"ramp",1,1,174291
"proxy",1,1,174291
"sputtering",1,1,174291
"cherished",1,1,174291
"sunbird",1,1,174291
"accusing",1,1,174291
"willy",1,1,174291
"tumbled",1,1,174291
"tromping",1,1,174291
"calcutta",1,1,174291
"mistreating",1,1,174291
"maltese",1,1,174291
"maturing",1,1,174291
"sicko",1,1,174291
"plunge",1,1,174291
"yearlong",1,1,174291
"unfit",1,1,174291
"retyping",1,1,174291
"terre",1,1,174291
"gators",1,1,174291
"commanders",1,1,174291
"accomplishes",1,1,174291
"woe",1,1,174291
"familial",1,1,174291
"dialed",1,1,174291
"woo",1,1,174291
"matriarchies",1,1,174291
"preceded",1,1,174291
"kisha",1,1,174291
"workbench",1,1,174291
"gases",1,1,174291
"precedes",1,1,174291
"fajita",1,1,174291
"nosed",1,1,174291
"garf",1,1,174291
"guatamala",1,1,174291
"nonconventional",1,1,174291
"jailed",1,1,174291
"maryland's",1,1,174291
"domed",1,1,174291
"baccalaureate",1,1,174291
"preregister",1,1,174291
"frize",1,1,174291
"aerobically",1,1,174291
"barrio",1,1,174291
"untypically",1,1,174291
"wri",1,1,174291
"skimp",1,1,174291
"waiver",1,1,174291
"withdraw",1,1,174291
"dialects",1,1,174291
"whips",1,1,174291
"coincided",1,1,174291
"contemplate",1,1,174291
"commitments",1,1,174291
"advisory",1,1,174291
"disputes",1,1,174291
"announce",1,1,174291
"lapses",1,1,174291
"habitable",1,1,174291
"enjoyments",1,1,174291
"cheeseburgers",1,1,174291
"nevin",1,1,174291
"phoenixville",1,1,174291
"lawful",1,1,174291
"gays",1,1,174291
"cheerleaders",1,1,174291
"accrue",1,1,174291
"sentencings",1,1,174291
"nutrients",1,1,174291
"parent's",1,1,174291
"nathaniel",1,1,174291
"assistantship",1,1,174291
"counselees",1,1,174291
"documented",1,1,174291
"flatlands",1,1,174291
"turmoil",1,1,174291
"possessed",1,1,174291
"sedans",1,1,174291
"flyer",1,1,174291
"appetites",1,1,174291
"fritz",1,1,174291
"prediction",1,1,174291
"rays",1,1,174291
"neal's",1,1,174291
"totalitarian",1,1,174291
"admini",1,1,174291
"bach's",1,1,174291
"semiretired",1,1,174291
"imported",1,1,174291
"allocated",1,1,174291
"couriering",1,1,174291
"problematic",1,1,174291
"embark",1,1,174291
"prodigy",1,1,174291
"valentine's",1,1,174291
"occupies",1,1,174291
"manipulating",1,1,174291
"tilled",1,1,174291
"peoples'",1,1,174291
"splendid",1,1,174291
"bottlers",1,1,174291
"instilling",1,1,174291
"homeowner",1,1,174291
"horning",1,1,174291
"month's",1,1,174291
"adversaries",1,1,174291
"chopping",1,1,174291
"tripped",1,1,174291
"downpouring",1,1,174291
"thei",1,1,174291
"gratin",1,1,174291
"teachings",1,1,174291
"reemphasis",1,1,174291
"singular",1,1,174291
"mistrust",1,1,174291
"compelled",1,1,174291
"email",1,1,174291
"squadrons",1,1,174291
"mowers",1,1,174291
"schramm",1,1,174291
"molest",1,1,174291
"call's",1,1,174291
"sect",1,1,174291
"lilly",1,1,174291
"revolted",1,1,174291
"easterners",1,1,174291
"organism",1,1,174291
"forested",1,1,174291
"mainline",1,1,174291
"frosts",1,1,174291
"untold",1,1,174291
"thir",1,1,174291
"chiropractor",1,1,174291
"carnage",1,1,174291
"saberhagen",1,1,174291
"populace",1,1,174291
"muchly",1,1,174291
"imprint",1,1,174291
"doors!",1,1,174291
"dibbled",1,1,174291
"curfew",1,1,174291
"caterpillars",1,1,174291
"arthur's",1,1,174291
"examination",1,1,174291
"specializing",1,1,174291
"smoker's",1,1,174291
"transfusions",1,1,174291
"memorizer",1,1,174291
"smoky",1,1,174291
"odyssey",1,1,174291
"antisupporters",1,1,174291
"cubbies",1,1,174291
"brags",1,1,174291
"procedural",1,1,174291
"props",1,1,174291
"sousa",1,1,174291
"benders",1,1,174291
"depri",1,1,174291
"plunked",1,1,174291
"fussy",1,1,174291
"videotapes",1,1,174291
"federaldes",1,1,174291
"refunds",1,1,174291
"promo",1,1,174291
"scupper",1,1,174291
"bathtubs",1,1,174291
"renditions",1,1,174291
"simmons'",1,1,174291
"latrines",1,1,174291
"ulterior",1,1,174291
"datsun",1,1,174291
"ihop",1,1,174291
"cogill",1,1,174291
"warrington",1,1,174291
"architectural",1,1,174291
"thru",1,1,174291
"hemmed",1,1,174291
"lamborghini",1,1,174291
"treasurer",1,1,174291
"rewallpaper",1,1,174291
"sensibilities",1,1,174291
"brussels",1,1,174291
"instructor's",1,1,174291
"seni",1,1,174291
"stoppers",1,1,174291
"rejected",1,1,174291
"viaducts",1,1,174291
"observations",1,1,174291
"astaire",1,1,174291
"herb",1,1,174291
"herd",1,1,174291
"platters",1,1,174291
"implementation",1,1,174291
"luckier",1,1,174291
"edger",1,1,174291
"strived",1,1,174291
"doling",1,1,174291
"loophole",1,1,174291
"conversational",1,1,174291
"edged",1,1,174291
"exceeding",1,1,174291
"satisfactorily",1,1,174291
"almanac",1,1,174291
"nachos",1,1,174291
"homogeny",1,1,174291
"undergoing",1,1,174291
"skidmore",1,1,174291
"shamir",1,1,174291
"cammy",1,1,174291
"authorize",1,1,174291
"sunglasses",1,1,174291
"medellin",1,1,174291
"cranks",1,1,174291
"thug",1,1,174291
"macy's",1,1,174291
"pecanseed",1,1,174291
"inefficient",1,1,174291
"placate",1,1,174291
"location's",1,1,174291
"switchboard's",1,1,174291
"indulgent",1,1,174291
"rethinking",1,1,174291
"incapacitate",1,1,174291
"pollinated",1,1,174291
"opinion's",1,1,174291
"hardships",1,1,174291
"dreveki's",1,1,174291
"jamming",1,1,174291
"pruned",1,1,174291
"namely",1,1,174291
"defends",1,1,174291
"randall's",1,1,174291
"veins",1,1,174291
"winnow",1,1,174291
"americanism",1,1,174291
"adage",1,1,174291
"dallasite",1,1,174291
"aspirations",1,1,174291
"deejays",1,1,174291
"mugs",1,1,174291
"sloth",1,1,174291
"at's",1,1,174291
"clouding",1,1,174291
"increasement",1,1,174291
"seve",1,1,174291
"landlord's",1,1,174291
"siesta",1,1,174291
"leafing",1,1,174291
"quiche",1,1,174291
"marginal",1,1,174291
"muir",1,1,174291
"cottonwoods",1,1,174291
"twine",1,1,174291
"acidity",1,1,174291
"scottsdale",1,1,174291
"suffocating",1,1,174291
"indifference",1,1,174291
"albania",1,1,174291
"averaging",1,1,174291
"allergist",1,1,174291
"exaggeration",1,1,174291
"conditioning's",1,1,174291
"bums",1,1,174291
"palestinian",1,1,174291
"curling",1,1,174291
"raisers",1,1,174291
"loyalty",1,1,174291
"masks",1,1,174291
"kinesthetic",1,1,174291
"breeder",1,1,174291
"sixteenths",1,1,174291
"chords",1,1,174291
"shopaholic",1,1,174291
"prematurely",1,1,174291
"choruses",1,1,174291
"nother",1,1,174291
"excus",1,1,174291
"scribble",1,1,174291
"housekeepers",1,1,174291
"entity",1,1,174291
"armaments",1,1,174291
"deseg",1,1,174291
"care's",1,1,174291
"messina's",1,1,174291
"hacking",1,1,174291
"preventable",1,1,174291
"compendium",1,1,174291
"perspiration",1,1,174291
"basil",1,1,174291
"tick",1,1,174291
"linebacker",1,1,174291
"pleasures",1,1,174291
"quantify",1,1,174291
"euphonium",1,1,174291
"bakeries",1,1,174291
"housesat",1,1,174291
"weeks'",1,1,174291
"busi",1,1,174291
"glenrose",1,1,174291
"mush",1,1,174291
"unity",1,1,174291
"luther",1,1,174291
"measurable",1,1,174291
"cranes",1,1,174291
"envisioning",1,1,174291
"crowns",1,1,174291
"drainage",1,1,174291
"repossessed",1,1,174291
"prototypes",1,1,174291
"styled",1,1,174291
"bates",1,1,174291
"urbanizations",1,1,174291
"aerodyne",1,1,174291
"botched",1,1,174291
"appropr",1,1,174291
"rifled",1,1,174291
"drinkers",1,1,174291
"mute",1,1,174291
"headlamp",1,1,174291
"sopping",1,1,174291
"volt",1,1,174291
"buts",1,1,174291
"park's",1,1,174291
"powell",1,1,174291
"grishman's",1,1,174291
"grazing",1,1,174291
"antifreeze",1,1,174291
"pilgrims",1,1,174291
"ironsides",1,1,174291
"knight",1,1,174291
"baiting",1,1,174291
"waynesboro",1,1,174291
"yar",1,1,174291
"costed",1,1,174291
"yay",1,1,174291
"firewell",1,1,174291
"kool",1,1,174291
"bracketing",1,1,174291
"koop",1,1,174291
"yakima",1,1,174291
"chart",1,1,174291
"doberman",1,1,174291
"slobs",1,1,174291
"nationals",1,1,174291
"budgetary",1,1,174291
"proclaimed",1,1,174291
"brutally",1,1,174291
"lamink",1,1,174291
"gentleman's",1,1,174291
"champ",1,1,174291
"bimonthly",1,1,174291
"batch",1,1,174291
"preserves",1,1,174291
"odors",1,1,174291
"shoved",1,1,174291
"laundromat",1,1,174291
"chalk",1,1,174291
"cowbo",1,1,174291
"duals",1,1,174291
"exports",1,1,174291
"bunches",1,1,174291
"settling",1,1,174291
"impoverished",1,1,174291
"faddish",1,1,174291
"packards",1,1,174291
"hand's",1,1,174291
"cower",1,1,174291
"evaluations",1,1,174291
"borger",1,1,174291
"contentious",1,1,174291
"cafeterias",1,1,174291
"sniping",1,1,174291
"buzz",1,1,174291
"suitcases",1,1,174291
"broderick",1,1,174291
"aimlessly",1,1,174291
"domestically",1,1,174291
"sovereignly",1,1,174291
"trend's",1,1,174291
"panicked",1,1,174291
"gleason",1,1,174291
"floral",1,1,174291
"swoop",1,1,174291
"evenly",1,1,174291
"brightens",1,1,174291
"thumbing",1,1,174291
"parkinson's",1,1,174291
"casings",1,1,174291
"drywalled",1,1,174291
"niche",1,1,174291
"adams",1,1,174291
"metropolitans",1,1,174291
"blinders",1,1,174291
"chubby",1,1,174291
"actinide",1,1,174291
"layed",1,1,174291
"entice",1,1,174291
"staffs",1,1,174291
"begats",1,1,174291
"deleting",1,1,174291
"motorola",1,1,174291
"lamenting",1,1,174291
"chemotography",1,1,174291
"governed",1,1,174291
"trinket",1,1,174291
"shallows",1,1,174291
"peremptory",1,1,174291
"prunes",1,1,174291
"stools",1,1,174291
"exiting",1,1,174291
"trampling",1,1,174291
"auctions",1,1,174291
"lounge",1,1,174291
"discriminatory",1,1,174291
"incarnate",1,1,174291
"pleaded",1,1,174291
"inappropriately",1,1,174291
"counteract",1,1,174291
"listenable",1,1,174291
"stipend",1,1,174291
"herschiser",1,1,174291
"carcinogenic",1,1,174291
"dimension",1,1,174291
"dinning",1,1,174291
"tricked",1,1,174291
"armageddon",1,1,174291
"calisthenics",1,1,174291
"nominated",1,1,174291
"cummins",1,1,174291
"tahoe",1,1,174291
"papyrus",1,1,174291
"councils",1,1,174291
"secluded",1,1,174291
"advising",1,1,174291
"stems",1,1,174291
"popper",1,1,174291
"ethnicity",1,1,174291
"eyeliner",1,1,174291
"corpor",1,1,174291
"abuser",1,1,174291
"secede",1,1,174291
"gutters",1,1,174291
"redford",1,1,174291
"fractiousness",1,1,174291
"inventory's",1,1,174291
"assemble",1,1,174291
"scaredy",1,1,174291
"lovingest",1,1,174291
"barns",1,1,174291
"doable",1,1,174291
"tubbs",1,1,174291
"dandelion",1,1,174291
"waffle",1,1,174291
"bavarian",1,1,174291
"scotty",1,1,174291
"stroganoff",1,1,174291
"afterthought",1,1,174291
"enactment",1,1,174291
"entrees",1,1,174291
"zeroed",1,1,174291
"worldliness",1,1,174291
"thereof",1,1,174291
"incase",1,1,174291
"now's",1,1,174291
"outward",1,1,174291
"bloody",1,1,174291
"retreading",1,1,174291
"flimflam",1,1,174291
"perpor",1,1,174291
"muscular",1,1,174291
"lector",1,1,174291
"arias",1,1,174291
"religions",1,1,174291
"motherly",1,1,174291
"victoria",1,1,174291
"executioner",1,1,174291
"marin",1,1,174291
"chancellor's",1,1,174291
"snuff",1,1,174291
"reddish",1,1,174291
"sellers",1,1,174291
"perestroika",1,1,174291
"marlo",1,1,174291
"guaranty",1,1,174291
"faucet",1,1,174291
"segregate",1,1,174291
"keying",1,1,174291
"charities",1,1,174291
"wausau",1,1,174291
"mustangs",1,1,174291
"spartan",1,1,174291
"malone",1,1,174291
"selectively",1,1,174291
"cough",1,1,174291
"gladiolas",1,1,174291
"derby",1,1,174291
"accelerate",1,1,174291
"caucuses",1,1,174291
"ballady",1,1,174291
"calculated",1,1,174291
"eroded",1,1,174291
"kaiser",1,1,174291
"dubbed",1,1,174291
"porsche's",1,1,174291
"strengths",1,1,174291
"surtax",1,1,174291
"vivant",1,1,174291
"transform",1,1,174291
"assuredly",1,1,174291
"competitor",1,1,174291
"musicians'",1,1,174291
"dogwoods",1,1,174291
"mustang's",1,1,174291
"stern",1,1,174291
"socked",1,1,174291
"sensors",1,1,174291
"amaryllis",1,1,174291
"blockbuster",1,1,174291
"refinement",1,1,174291
"dissolved",1,1,174291
"coves",1,1,174291
"pointer",1,1,174291
"zap",1,1,174291
"zar",1,1,174291
"miners",1,1,174291
"bypassed",1,1,174291
"caverns",1,1,174291
"newsy",1,1,174291
"grower",1,1,174291
"bridesmaid",1,1,174291
"upheld",1,1,174291
"fade",1,1,174291
"unnatural",1,1,174291
"trousers",1,1,174291
"propelled",1,1,174291
"air's",1,1,174291
"repack",1,1,174291
"helpers",1,1,174291
"stepchildren",1,1,174291
"headstart",1,1,174291
"reining",1,1,174291
"handlebars",1,1,174291
"prolonging",1,1,174291
"zen",1,1,174291
"keeper",1,1,174291
"thrice",1,1,174291
"thurber",1,1,174291
"raton",1,1,174291
"protestants",1,1,174291
"palestine",1,1,174291
"geometric",1,1,174291
"ironed",1,1,174291
"micrometer",1,1,174291
"fundamentally",1,1,174291
"depressants",1,1,174291
"piddles",1,1,174291
"smatterings",1,1,174291
"growls",1,1,174291
"persuadable",1,1,174291
"commend",1,1,174291
"sands",1,1,174291
"scraper",1,1,174291
"scrapes",1,1,174291
"piccolo",1,1,174291
"removal",1,1,174291
"presentation's",1,1,174291
"equalize",1,1,174291
"comparatively",1,1,174291
"folding",1,1,174291
"snuggle",1,1,174291
"palatable",1,1,174291
"blanking",1,1,174291
"liabilities",1,1,174291
"ratty",1,1,174291
"provisional",1,1,174291
"innovativeness",1,1,174291
"scalding",1,1,174291
"snowball",1,1,174291
"rathers",1,1,174291
"arquett",1,1,174291
"fabulously",1,1,174291
"yardage",1,1,174291
"immemorial",1,1,174291
"folderol",1,1,174291
"falk",1,1,174291
"evangelical",1,1,174291
"semireligious",1,1,174291
"exhaustion",1,1,174291
"siege",1,1,174291
"electrifying",1,1,174291
"mortices",1,1,174291
"incumbents",1,1,174291
"landers",1,1,174291
"instrumentals",1,1,174291
"lambert",1,1,174291
"outlaid",1,1,174291
"abusers",1,1,174291
"resolves",1,1,174291
"thunderbird",1,1,174291
"drawers",1,1,174291
"headwaters",1,1,174291
"stenciled",1,1,174291
"iliad",1,1,174291
"judean",1,1,174291
"squirted",1,1,174291
"dignified",1,1,174291
"attendant",1,1,174291
"quorums",1,1,174291
"manhattan's",1,1,174291
"fishermen",1,1,174291
"sweetheart",1,1,174291
"shakes",1,1,174291
"impuned",1,1,174291
"tuition's",1,1,174291
"daltons",1,1,174291
"massacred",1,1,174291
"sidney",1,1,174291
"overgrazed",1,1,174291
"sundance",1,1,174291
"sportier",1,1,174291
"harks",1,1,174291
"hairless",1,1,174291
"monoxide",1,1,174291
"prude",1,1,174291
"indicators",1,1,174291
"carpooled",1,1,174291
"courtyard",1,1,174291
"intelligently",1,1,174291
"breakable",1,1,174291
"primer",1,1,174291
"chapters",1,1,174291
"sinked",1,1,174291
"craftsmanship",1,1,174291
"handsaw",1,1,174291
"primed",1,1,174291
"curled",1,1,174291
"alignments",1,1,174291
"acquitting",1,1,174291
"hookups",1,1,174291
"bolted",1,1,174291
"frontal",1,1,174291
"university's",1,1,174291
"astronauts",1,1,174291
"foreman",1,1,174291
"acclaim",1,1,174291
"concluding",1,1,174291
"airfare",1,1,174291
"beaner",1,1,174291
"educationally",1,1,174291
"unan",1,1,174291
"parachute",1,1,174291
"bureaucracies",1,1,174291
"pharmacy",1,1,174291
"bottoming",1,1,174291
"directory",1,1,174291
"industrially",1,1,174291
"archaeology",1,1,174291
"sashes",1,1,174291
"colonel",1,1,174291
"drenched",1,1,174291
"precondition",1,1,174291
"uniqueness",1,1,174291
"exercising's",1,1,174291
"rebellions",1,1,174291
"excepted",1,1,174291
"hards",1,1,174291
"septien",1,1,174291
"faye",1,1,174291
"specialization",1,1,174291
"fresno",1,1,174291
"mortgages",1,1,174291
"maury",1,1,174291
"semifixed",1,1,174291
"adcose",1,1,174291
"yield",1,1,174291
"philharmonic",1,1,174291
"burroughs",1,1,174291
"varicose",1,1,174291
"holdouts",1,1,174291
"shap",1,1,174291
"shay",1,1,174291
"objected",1,1,174291
"removes",1,1,174291
"pertain",1,1,174291
"infamous",1,1,174291
"shortsighted",1,1,174291
"sealing",1,1,174291
"milky",1,1,174291
"stimulates",1,1,174291
"unhealthy",1,1,174291
"geothermal",1,1,174291
"modified",1,1,174291
"pooper",1,1,174291
"borden",1,1,174291
"avoids",1,1,174291
"finale",1,1,174291
"prompted",1,1,174291
"differed",1,1,174291
"shattered",1,1,174291
"frowned",1,1,174291
"elixir",1,1,174291
"swished",1,1,174291
"humankind",1,1,174291
"pooped",1,1,174291
"rebellious",1,1,174291
"confiscated",1,1,174291
"diminished",1,1,174291
"margin's",1,1,174291
"blunt",1,1,174291
"prune",1,1,174291
"shep",1,1,174291
"hummingbird",1,1,174291
"darrell",1,1,174291
"undergraduates",1,1,174291
"mauve",1,1,174291
"zoology",1,1,174291
"puppets",1,1,174291
"kneecap",1,1,174291
"kleenex",1,1,174291
"sensationalistic",1,1,174291
"reorganizing",1,1,174291
"armadillos",1,1,174291
"reed",1,1,174291
"noting",1,1,174291
"marquee",1,1,174291
"reek",1,1,174291
"gees",1,1,174291
"imitating",1,1,174291
"tallest",1,1,174291
"ducts",1,1,174291
"devil",1,1,174291
"forthright",1,1,174291
"racialism",1,1,174291
"materialistic",1,1,174291
"handel",1,1,174291
"expending",1,1,174291
"paveway",1,1,174291
"collagen",1,1,174291
"outgrow",1,1,174291
"lakefront",1,1,174291
"shit",1,1,174291
"repeater",1,1,174291
"temporaries",1,1,174291
"realtor",1,1,174291
"preach",1,1,174291
"fragmented",1,1,174291
"deplete",1,1,174291
"estimates",1,1,174291
"matzi",1,1,174291
"rein",1,1,174291
"assassinate",1,1,174291
"colleagues",1,1,174291
"turnovers",1,1,174291
"fulltime",1,1,174291
"detecting",1,1,174291
"thunderstorm",1,1,174291
"idea's",1,1,174291
"spastic",1,1,174291
"peremptorily",1,1,174291
"brokaw",1,1,174291
"kennedy's",1,1,174291
"epoxy",1,1,174291
"frown",1,1,174291
"newborns",1,1,174291
"discomfort",1,1,174291
"learner",1,1,174291
"reno",1,1,174291
"judiciously",1,1,174291
"delineated",1,1,174291
"bouncy",1,1,174291
"fetish",1,1,174291
"circuits",1,1,174291
"gena",1,1,174291
"assorted",1,1,174291
"invasive",1,1,174291
"buzzer",1,1,174291
"anxieties",1,1,174291
"another's",1,1,174291
"horizontally",1,1,174291
"gems",1,1,174291
"nonsmokers",1,1,174291
"boozier",1,1,174291
"parliament's",1,1,174291
"unilateral",1,1,174291
"luau",1,1,174291
"invitations",1,1,174291
"druther",1,1,174291
"governmentally",1,1,174291
"spatulas",1,1,174291
"architecture",1,1,174291
"consolation",1,1,174291
"consulted",1,1,174291
"catacombs",1,1,174291
"onward",1,1,174291
"grounding",1,1,174291
"ditched",1,1,174291
"backfield",1,1,174291
"shun",1,1,174291
"sedative",1,1,174291
"henpecked",1,1,174291
"interrupting",1,1,174291
"geri",1,1,174291
"germ",1,1,174291
"exceptionally",1,1,174291
"entitlement",1,1,174291
"newspeople",1,1,174291
"glamour",1,1,174291
"billboard",1,1,174291
"resurrection",1,1,174291
"misguided",1,1,174291
"investigations",1,1,174291
"footing",1,1,174291
"purifying",1,1,174291
"highlight",1,1,174291
"adherence",1,1,174291
"ovens",1,1,174291
"puppet",1,1,174291
"redwoods",1,1,174291
"interruption",1,1,174291
"timothy",1,1,174291
"hypocritical",1,1,174291
"bicyclist",1,1,174291
"snuffed",1,1,174291
"mongrels",1,1,174291
"energy's",1,1,174291
"demeaning",1,1,174291
"astonishing",1,1,174291
"wedet",1,1,174291
"plank",1,1,174291
"insulate",1,1,174291
"servant",1,1,174291
"mahals",1,1,174291
"diamante",1,1,174291
"subsequent",1,1,174291
"jongg",1,1,174291
"incorrect",1,1,174291
"tapering",1,1,174291
"crevice",1,1,174291
"lord's",1,1,174291
"joes",1,1,174291
"precede",1,1,174291
"spiraling",1,1,174291
"parish",1,1,174291
"subbed",1,1,174291
"munch",1,1,174291
"unsettling",1,1,174291
"bashing",1,1,174291
"plaster",1,1,174291
"rigging",1,1,174291
"enclaves",1,1,174291
"stigmatism",1,1,174291
"institutionally",1,1,174291
"sauteed",1,1,174291
"renovate",1,1,174291
"exploited",1,1,174291
"mediator",1,1,174291
"tiananmen",1,1,174291
"jogs",1,1,174291
"reams",1,1,174291
"enveloped",1,1,174291
"riddle",1,1,174291
"legendary",1,1,174291
"harper",1,1,174291
"someth",1,1,174291
"captures",1,1,174291
"someti",1,1,174291
"reviewing",1,1,174291
"tyrant",1,1,174291
"wreath",1,1,174291
"divulging",1,1,174291
"torpedoed",1,1,174291
"rubbing",1,1,174291
"peasant",1,1,174291
"grunted",1,1,174291
"corridor",1,1,174291
"cornea",1,1,174291
"provoking",1,1,174291
"maiden",1,1,174291
"gears",1,1,174291
"biker",1,1,174291
"assembling",1,1,174291
"humidifiers",1,1,174291
"hibi",1,1,174291
"purebreds",1,1,174291
"debbie",1,1,174291
"testimonies",1,1,174291
"tackling",1,1,174291
"twitty",1,1,174291
"customized",1,1,174291
"colossians",1,1,174291
"focuses",1,1,174291
"overtly",1,1,174291
"predominate",1,1,174291
"dictatorship",1,1,174291
"mclaughlin",1,1,174291
"debatable",1,1,174291
"levies",1,1,174291
"plaza",1,1,174291
"sailed",1,1,174291
"burnable",1,1,174291
"sailer",1,1,174291
"depreciate",1,1,174291
"glassy",1,1,174291
"stephenville",1,1,174291
"razzoo's",1,1,174291
"attaches",1,1,174291
"arrests",1,1,174291
"poked",1,1,174291
"proclaim",1,1,174291
"graffiti",1,1,174291
"jolt",1,1,174291
"scorer",1,1,174291
"chinchilla",1,1,174291
"ills",1,1,174291
"cyclist",1,1,174291
"tingling",1,1,174291
"declined",1,1,174291
"supermom",1,1,174291
"acknowledge",1,1,174291
"howling",1,1,174291
"reconstruction",1,1,174291
"muffins",1,1,174291
"geronimo",1,1,174291
"degray",1,1,174291
"elbow",1,1,174291
"supposing",1,1,174291
"deterred",1,1,174291
"composite",1,1,174291
"asthma",1,1,174291
"catchers",1,1,174291
"zigzag",1,1,174291
"auctioning",1,1,174291
"screechy",1,1,174291
"scrambles",1,1,174291
"cactus",1,1,174291
"engulfed",1,1,174291
"silk",1,1,174291
"ophthalmologist",1,1,174291
"silt",1,1,174291
"persia",1,1,174291
"drunks",1,1,174291
"confirm",1,1,174291
"underclassmen",1,1,174291
"corolla",1,1,174291
"appoint",1,1,174291
"clowns",1,1,174291
"headphones",1,1,174291
"fallout",1,1,174291
"spacings",1,1,174291
"oopsy",1,1,174291
"astonia",1,1,174291
"foursome",1,1,174291
"politician's",1,1,174291
"hardback",1,1,174291
"mumps",1,1,174291
"curving",1,1,174291
"show's",1,1,174291
"pending",1,1,174291
"infantry",1,1,174291
"assesses",1,1,174291
"infraction",1,1,174291
"initiation",1,1,174291
"prestigious",1,1,174291
"compulsion",1,1,174291
"temptation's",1,1,174291
"punching",1,1,174291
"allocation",1,1,174291
"preclude",1,1,174291
"jowl",1,1,174291
"rethought",1,1,174291
"guadalupe",1,1,174291
"turnstile",1,1,174291
"docked",1,1,174291
"brent",1,1,174291
"individu",1,1,174291
"educatable",1,1,174291
"childish",1,1,174291
"lightly",1,1,174291
